Designator,Mid X,Mid Y,Rotation,Layer
C1,131.572,-108.458,270.0,top
C10,107.188,-129.54,0.0,top
C11,107.442,-113.03,0.0,top
C12,110.236,-110.49,0.0,top
C13,116.84,-102.87,0.0,top
C2,131.572,-104.14,90.0,top
C3,123.19,-111.478,270.0,top
C4,129.032,-111.534,270.0,top
C5,120.396,-125.984,270.0,top
C6,158.496,-123.444,0.0,top
C7,155.956,-111.252,90.0,top
C8,157.48,-111.252,90.0,top
C9,103.950888,-137.414,0.0,top
D1,171.831,-105.918,270.0,top
D10,115.316,-113.03,180.0,top
D11,129.921,-130.683,90.0,top
D2,170.18,-105.918,270.0,top
D3,137.414,-127.762,90.0,top
D4,144.018,-127.762,90.0,top
D5,175.44,-119.888,180.0,top
D6,175.514,-127.0,180.0,top
D7,175.514,-133.984,180.0,top
D8,118.618,-110.744,0.0,top
D9,86.5,-131.0,0.0,top
IC1,124.714,-127.0,270.0,top
J1,163.578,-106.206,180.0,top
J2,140.582,-136.432,0.0,top
J3,140.602,-146.067,0.0,top
J4,159.612,-136.415,0.0,top
J5,159.652,-146.067,0.0,top
J6,117.388,-136.398,0.0,top
J7,117.388,-146.05,0.0,top
J8,131.572,-146.05,0.0,top
J9,131.572,-136.398,0.0,top
JP1,112.776,-130.81,90.0,top
MD1,108.295,-121.2825,90.0,top
Q1,160.8605,-126.752896,0.0,top
Q2,156.7965,-126.752896,180.0,top
R1,128.016,-108.966,0.0,top
R14,124.46,-132.334,180.0,top
R15,107.188,-131.826,0.0,top
R16,124.46,-118.618,90.0,top
R17,123.952,-108.966,180.0,top
R18,90.5,-131.0,180.0,top
R19,111.316,-113.03,0.0,top
R20,129.921,-127.127,270.0,top
R3,171.831,-109.728,270.0,top
R4,170.18,-109.728,270.0,top
R5,157.226,-106.426,90.0,top
R6,167.386,-112.522,0.0,top
RV1,118.872,-119.42,270.0,top
SW1,129.32275,-106.58325,90.0,top
SW2,122.568,-102.116,270.0,top
U1,143.124,-111.394,0.0,top
U2,160.02,-117.602,90.0,top
U3,97.15,-145.1,90.0,top
U4,113.03,-105.664,0.0,top
U5,88.646,-125.476,0.0,top
U6,88.733,-117.221,0.0,top
U7,88.813,-109.728,0.0,top
